president,subgroup,approve,disapprove,timestamp
Joe Biden,All polls,41.797215,52.899837,2022/11/27 12:26
Joe Biden,Adults,40.993601,52.557965,2022/11/27 12:27
Joe Biden,Voters,42.161251,53.256684,2022/11/27 12:27
Joe Biden,All polls,41.797215,52.899837,2022/11/23 10:28
Joe Biden,Adults,40.993601,52.557965,2022/11/23 10:28
Joe Biden,Voters,42.161251,53.256684,2022/11/23 10:29
Joe Biden,All polls,41.504971,53.48452,2022/11/22 18:03
Joe Biden,Adults,40.57928,53.486051,2022/11/22 18:03
Joe Biden,Voters,41.641891,53.807439,2022/11/22 18:04
Joe Biden,All polls,41.956987,53.279039,2022/11/21 11:32
Joe Biden,Adults,40.518856,53.478127,2022/11/21 11:34
Joe Biden,Voters,43.038294,53.059971,2022/11/21 11:35
Joe Biden,All polls,42.023218,53.21625,2022/11/21 11:33
Joe Biden,Adults,40.620119,53.344763,2022/11/21 11:34
Joe Biden,Voters,43.135707,52.930961,2022/11/21 11:35
Joe Biden,All polls,42.023218,53.21625,2022/11/21 11:34
Joe Biden,Adults,40.620119,53.344763,2022/11/21 11:34
Joe Biden,Voters,43.135707,52.930961,2022/11/21 11:35
Joe Biden,All polls,42.023218,53.21625,2022/11/18 16:19
Joe Biden,Adults,40.620119,53.344763,2022/11/18 16:19
Joe Biden,Voters,43.135707,52.930961,2022/11/18 16:20
Joe Biden,All polls,41.745268,53.1396,2022/11/17 14:44
Joe Biden,Adults,40.163357,53.267754,2022/11/17 14:44
Joe Biden,Voters,43.382833,52.83122,2022/11/17 14:45
Joe Biden,All polls,41.576776,53.25932,2022/11/16 14:43
Joe Biden,Adults,40.19778,53.275158,2022/11/16 14:43
Joe Biden,Voters,43.18544,53.018967,2022/11/16 14:44
Joe Biden,All polls,41.662213,53.254161,2022/11/15 9:47
Joe Biden,Adults,40.230395,53.29789,2022/11/15 9:47
Joe Biden,Voters,43.118305,53.078384,2022/11/15 9:48
Joe Biden,All polls,41.662041,53.127386,2022/11/14 9:38
Joe Biden,Adults,40.063287,53.249326,2022/11/14 9:39
Joe Biden,Voters,43.294079,52.902868,2022/11/14 9:40
Joe Biden,All polls,41.53689,53.296719,2022/11/14 9:39
Joe Biden,Adults,40.063287,53.249326,2022/11/14 9:40
Joe Biden,Voters,43.155026,53.107478,2022/11/14 9:40
Joe Biden,All polls,41.53689,53.296719,2022/11/14 9:39
Joe Biden,Adults,40.063287,53.249326,2022/11/14 9:40
Joe Biden,Voters,43.155026,53.107478,2022/11/14 9:40
Joe Biden,All polls,41.53689,53.296719,2022/11/11 9:47
Joe Biden,Adults,40.063287,53.249326,2022/11/11 9:47
Joe Biden,Voters,43.155026,53.107478,2022/11/11 9:48
Joe Biden,All polls,41.179614,53.453576,2022/11/10 9:35
Joe Biden,Adults,39.86117,53.281812,2022/11/10 9:35
Joe Biden,Voters,42.761696,53.333503,2022/11/10 9:36
Joe Biden,All polls,41.132422,53.514512,2022/11/9 16:57
Joe Biden,Adults,39.858248,53.227555,2022/11/9 16:57
Joe Biden,Voters,42.683608,53.435916,2022/11/9 16:58
Joe Biden,All polls,41.403192,53.47727,2022/11/8 13:47
Joe Biden,Adults,40.055503,53.015922,2022/11/8 13:47
Joe Biden,Voters,43.338442,53.390748,2022/11/8 13:48
Joe Biden,All polls,41.389127,53.44049,2022/11/7 22:33
Joe Biden,Adults,40.043014,53.002172,2022/11/7 22:34
Joe Biden,Voters,43.40431,53.340142,2022/11/7 22:34
Joe Biden,All polls,42.266799,53.052741,2022/11/6 10:59
Joe Biden,Adults,40.903102,52.540117,2022/11/6 11:00
Joe Biden,Voters,43.454207,53.10503,2022/11/6 11:01
Joe Biden,All polls,42.072354,53.124532,2022/11/6 11:00
Joe Biden,Adults,40.738841,52.585429,2022/11/6 11:01
Joe Biden,Voters,43.349585,53.248426,2022/11/6 11:01
Joe Biden,All polls,42.072354,53.124532,2022/11/4 13:07
Joe Biden,Adults,40.738841,52.585429,2022/11/4 13:07
Joe Biden,Voters,43.349585,53.248426,2022/11/4 13:08
Joe Biden,All polls,42.298486,53.230972,2022/11/3 19:53
Joe Biden,Adults,40.684432,52.568498,2022/11/3 19:53
Joe Biden,Voters,43.466118,53.544082,2022/11/3 19:53
Joe Biden,All polls,42.194207,53.296425,2022/11/2 19:11
Joe Biden,Adults,40.544471,52.554359,2022/11/2 19:11
Joe Biden,Voters,43.271736,53.535705,2022/11/2 19:11
Joe Biden,All polls,42.353545,53.714995,2022/11/1 18:55
Joe Biden,Adults,39.949127,53.748729,2022/11/1 18:55
Joe Biden,Voters,43.344179,54.01232,2022/11/1 18:55
Joe Biden,All polls,42.310974,53.635141,2022/10/31 15:25
Joe Biden,Adults,40.042755,53.616133,2022/10/31 15:25
Joe Biden,Voters,43.370971,53.949236,2022/10/31 15:26
Joe Biden,All polls,42.365694,53.28958,2022/10/30 13:34
Joe Biden,Adults,40.034659,53.617699,2022/10/30 13:35
Joe Biden,Voters,43.551862,53.498851,2022/10/30 13:36
Joe Biden,All polls,42.169735,52.945492,2022/10/30 13:35
Joe Biden,Adults,40.034659,53.617699,2022/10/30 13:35
Joe Biden,Voters,43.547996,52.997304,2022/10/30 13:36
Joe Biden,All polls,42.169735,52.945492,2022/10/28 18:17
Joe Biden,Adults,40.034659,53.617699,2022/10/28 18:17
Joe Biden,Voters,43.547996,52.997304,2022/10/28 18:17
Joe Biden,All polls,42.284755,53.024957,2022/10/27 13:57
Joe Biden,Adults,40.034659,53.617699,2022/10/27 13:57
Joe Biden,Voters,43.73135,53.074687,2022/10/27 13:57
Joe Biden,All polls,41.812928,53.426052,2022/10/26 13:18
Joe Biden,Adults,40.01002,53.723653,2022/10/26 13:18
Joe Biden,Voters,43.556652,53.279963,2022/10/26 13:18
Joe Biden,All polls,41.74549,53.652357,2022/10/25 19:13
Joe Biden,Adults,39.754406,54.082171,2022/10/25 19:13
Joe Biden,Voters,43.0013,53.388654,2022/10/25 19:13
Joe Biden,All polls,41.643841,53.339015,2022/10/24 14:42
Joe Biden,Adults,39.7532,54.050319,2022/10/24 14:42
Joe Biden,Voters,42.896831,53.031993,2022/10/24 14:42
Joe Biden,All polls,41.629187,53.465618,2022/10/23 11:08
Joe Biden,Adults,39.770313,54.113029,2022/10/23 11:09
Joe Biden,Voters,42.841555,53.174192,2022/10/23 11:09
Joe Biden,All polls,41.517407,53.501456,2022/10/23 11:09
Joe Biden,Adults,39.770313,54.113029,2022/10/23 11:09
Joe Biden,Voters,42.816656,53.190098,2022/10/23 11:10
Joe Biden,All polls,41.517407,53.501456,2022/10/21 10:56
Joe Biden,Adults,39.770313,54.113029,2022/10/21 10:56
Joe Biden,Voters,42.816656,53.190098,2022/10/21 10:56
Joe Biden,All polls,41.998102,53.422625,2022/10/20 15:10
Joe Biden,Adults,40.127156,53.860868,2022/10/20 15:11
Joe Biden,Voters,43.819196,52.885435,2022/10/20 15:11
Joe Biden,All polls,42.324243,53.175874,2022/10/19 15:40
Joe Biden,Adults,40.882288,52.896342,2022/10/19 15:40
Joe Biden,Voters,43.939221,53.000838,2022/10/19 15:40
Joe Biden,All polls,42.465075,53.154866,2022/10/18 16:16
Joe Biden,Adults,41.204432,52.594201,2022/10/18 16:16
Joe Biden,Voters,43.908552,53.079815,2022/10/18 16:16
Joe Biden,All polls,42.783115,53.188939,2022/10/17 9:39
Joe Biden,Adults,41.290002,52.435163,2022/10/17 9:39
Joe Biden,Voters,43.694658,53.251684,2022/10/17 9:39
Joe Biden,All polls,42.929573,52.883847,2022/10/16 12:56
Joe Biden,Adults,41.290008,52.435317,2022/10/16 12:56
Joe Biden,Voters,44.047539,52.830377,2022/10/16 12:57
Joe Biden,All polls,42.15572,52.789677,2022/10/15 12:39
Joe Biden,Adults,41.290008,52.435317,2022/10/15 12:39
Joe Biden,Voters,43.549403,52.729482,2022/10/15 12:39
Joe Biden,All polls,42.26846,52.73817,2022/10/14 17:15
Joe Biden,Adults,41.290008,52.435317,2022/10/14 17:15
Joe Biden,Voters,43.891372,52.582604,2022/10/14 17:15
Joe Biden,All polls,42.589401,52.28799,2022/10/13 14:52
Joe Biden,Adults,41.290008,52.435317,2022/10/13 14:52
Joe Biden,Voters,44.737453,51.851467,2022/10/13 14:53
Joe Biden,All polls,42.401888,52.332423,2022/10/12 13:33
Joe Biden,Adults,41.392543,52.11277,2022/10/12 13:33
Joe Biden,Voters,44.588156,51.944647,2022/10/12 13:33
Joe Biden,All polls,42.152994,52.53454,2022/10/11 17:29
Joe Biden,Adults,40.925818,52.496528,2022/10/11 17:29
Joe Biden,Voters,44.132305,52.055559,2022/10/11 17:29
Joe Biden,All polls,42.333167,52.266184,2022/10/10 20:19
Joe Biden,Adults,41.189492,52.29764,2022/10/10 20:19
Joe Biden,Voters,44.344103,51.827732,2022/10/10 20:19
Joe Biden,All polls,42.518631,51.967244,2022/10/10 9:33
Joe Biden,Adults,41.159329,52.056805,2022/10/10 9:33
Joe Biden,Voters,44.473029,51.713996,2022/10/10 9:33
Joe Biden,All polls,42.518631,51.967244,2022/10/8 10:42
Joe Biden,Adults,41.159329,52.056805,2022/10/8 10:42
Joe Biden,Voters,44.473029,51.713996,2022/10/8 10:42
Joe Biden,All polls,42.626131,51.669024,2022/10/7 19:31
Joe Biden,Adults,41.168856,51.60756,2022/10/7 19:31
Joe Biden,Voters,44.425263,51.542824,2022/10/7 19:31
Joe Biden,All polls,42.684919,51.463897,2022/10/6 9:43
Joe Biden,Adults,41.200781,51.299076,2022/10/6 9:43
Joe Biden,Voters,44.445918,51.510054,2022/10/6 9:43
Joe Biden,All polls,42.339879,51.865582,2022/10/5 18:21
Joe Biden,Adults,40.217991,52.184961,2022/10/5 18:21
Joe Biden,Voters,43.995716,51.882387,2022/10/5 18:21
Joe Biden,All polls,42.647622,52.109096,2022/10/4 11:44
Joe Biden,Adults,39.966858,52.536444,2022/10/4 11:44
Joe Biden,Voters,43.899733,52.202645,2022/10/4 11:44
Joe Biden,All polls,42.110756,51.939757,2022/10/3 14:22
Joe Biden,Adults,39.967409,52.536815,2022/10/3 14:22
Joe Biden,Voters,43.387255,52.043256,2022/10/3 14:22
Joe Biden,All polls,42.274261,51.924362,2022/10/3 10:09
Joe Biden,Adults,40.242283,52.533637,2022/10/3 10:09
Joe Biden,Voters,43.647421,51.875463,2022/10/3 10:10
Joe Biden,All polls,42.274261,51.924362,2022/10/3 10:09
Joe Biden,Adults,40.242283,52.533637,2022/10/3 10:10
Joe Biden,Voters,43.647421,51.875463,2022/10/3 10:10
Joe Biden,All polls,42.274261,51.924362,2022/9/30 9:53
Joe Biden,Adults,40.242283,52.533637,2022/9/30 9:53
Joe Biden,Voters,43.647421,51.875463,2022/9/30 9:53
Joe Biden,All polls,42.047355,52.203764,2022/9/29 13:42
Joe Biden,Adults,40.242283,52.533637,2022/9/29 13:42
Joe Biden,Voters,43.450293,52.210222,2022/9/29 13:42
Joe Biden,All polls,42.188364,52.217233,2022/9/28 18:35
Joe Biden,Adults,40.30855,52.31953,2022/9/28 18:35
Joe Biden,Voters,43.454196,52.204256,2022/9/28 18:35
Joe Biden,All polls,42.598817,53.112738,2022/9/27 18:32
Joe Biden,Adults,40.817002,52.977424,2022/9/27 18:32
Joe Biden,Voters,43.572896,53.00244,2022/9/27 18:32
Joe Biden,All polls,42.706017,53.043241,2022/9/26 13:18
Joe Biden,Adults,40.80845,53.044596,2022/9/26 13:18
Joe Biden,Voters,43.554737,52.932735,2022/9/26 13:18
Joe Biden,All polls,42.765571,52.999858,2022/9/25 12:16
Joe Biden,Adults,40.883022,52.994171,2022/9/25 12:16
Joe Biden,Voters,43.614934,52.899367,2022/9/25 12:17
Joe Biden,All polls,42.656744,52.74259,2022/9/24 12:29
Joe Biden,Adults,41.321462,53.172013,2022/9/24 12:29
Joe Biden,Voters,43.748697,52.35163,2022/9/24 12:29
Joe Biden,All polls,42.87724,52.51182,2022/9/23 17:28
Joe Biden,Adults,41.299258,53.14054,2022/9/23 17:28
Joe Biden,Voters,44.058381,51.99597,2022/9/23 17:29
Joe Biden,All polls,42.470171,52.95148,2022/9/22 10:26
